experiment,dataset,acc,f1,auc
full_knn_reproduction,openml__Amazon_employee_access__34539,0.9426304546841623,0.9209205520276845,0.8025236793047673
full_knn_reproduction,openml__Australian__146818,0.927536231884058,0.9276282493673798,0.9592529711375213
full_knn_reproduction,openml__BNG(credit-a)__146047,0.88817,0.8881585350326552,0.9538224783879167
full_knn_reproduction,openml__Census-Income__168340,0.9514183567777073,0.9413534592848585,0.9375925192285764
full_knn_reproduction,openml__Click_prediction_small__190408,0.8322903629536921,0.7610039366634604,0.6533533478910019
full_knn_reproduction,openml__GesturePhaseSegmentationProcessed__14969,0.6882591093117408,0.6739485923173681,0.902638387690468
full_knn_reproduction,openml__JapaneseVowels__3510,0.9889669007021064,0.9889237927973116,0.999862885210002
full_knn_reproduction,openml__LED-display-domain-7digit__125921,0.7,0.6564468864468864,0.9514629629629628
full_knn_reproduction,openml__MagicTelescope__3954,0.8869610935856993,0.8847848094142805,0.9407226875260823
full_knn_reproduction,openml__MiniBooNE__168335,0.9418774506035211,0.942178095030956,0.9821826308338493
full_knn_reproduction,openml__PhishingWebsites__14952,0.9647377938517179,0.9646665240232724,0.994076331831434
full_knn_reproduction,openml__Satellite__167211,0.9901960784313726,0.9874970100140287,0.9943197955126385
full_knn_reproduction,openml__acute-inflammations__10089,1.0,1.0,1.0
full_knn_reproduction,openml__ada_agnostic__3896,0.8533916849015317,0.8414537225175491,0.8938928955040663
full_knn_reproduction,openml__adult-census__3953,0.8461774639238563,0.8379897859550648,0.9026948962133862
full_knn_reproduction,openml__adult__7592,0.8536335721596725,0.8443476228401847,0.9102222281563277
large_dataset_knn_reproduction,openml__numerai28.6__167120,0.5176495016611296,0.507909320345236,0.5284245856933081
large_dataset_reproduction,openml__covertype__7593,0.9439434098654091,0.9438429194187222,0.9959751210510545
partial_ft_reproduction,openml__Click_prediction_small__190408,0.8320400500625782,0.7685015689193277,0.6600543631407707
test_ft,openml__iris__59,1.0,1.0,1.0
test_ft_batch,openml__Australian__146818,0.9420289855072463,0.9421513905209556,0.9668930390492361
test_ft_batch,openml__iris__59,1.0,1.0,1.0
test_knn,openml__iris__59,1.0,1.0,1.0
test_knn_batch,openml__Australian__146818,0.927536231884058,0.9276282493673798,0.9592529711375213
test_knn_batch,openml__iris__59,1.0,1.0,1.0
